CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/27/2018,19:45:00,3AF,100 N ELLWOOD AVE,ROBBERY - STREET,O,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborho,-76.57347,39.29388,""(39.293880000000, -76.573470000000)"",STREET,1"
"04/27/2018,19:01:00,6D,100 W LOMBARD ST,LARCENY FROM AUTO,I,,111,CENTRAL,Downtown,-76.61661,39.28773,""(39.287730000000, -76.616610000000)"",PARKING LO,1"
"04/27/2018,18:50:00,4A,2700 RUSCOMBE LN,AGG. ASSAULT,I,FIREARM,532,NORTHERN,Cylburn,-76.66263,39.34818,""(39.348180000000, -76.662630000000)"",ROW/TOWNHO,1"
"04/27/2018,18:50:00,4E,4900 YORK RD,COMMON ASSAULT,I,OTHER,524,NORTHERN,Winston-Govans,-76.60962,39.34803,""(39.348030000000, -76.609620000000)"",APT/CONDO,1"
"04/27/2018,18:19:00,6D,AV & LYNDHURST ST,LARCENY FROM AUTO,O,,844,SOUTHWESTERN,Edmondson Village,-76.6812,39.29387,""(39.293870000000, -76.681200000000)"",STREET,1"
"04/27/2018,18:00:00,5E,1600 SHAKESPEARE ST,BURGLARY,,,213,SOUTHEASTERN,Fells Point,-76.59411,39.28211,""(39.282110000000, -76.594110000000)"",,1"
"04/27/2018,18:00:00,6D,1800 CHILTON ST,LARCENY FROM AUTO,O,,411,NORTHEASTERN,Coldstream Homestead Mont,-76.59038,39.32754,""(39.327540000000, -76.590380000000)"",STREET,1"
"04/27/2018,17:15,9S,2200 HARFORD RD,SHOOTING,Outside,FIREARM,342,EASTERN,East Baltimore Midway,-76.59713,39.31508,""(39.315080000000, -76.597130000000)"",Street,1"
"04/27/2018,17:41:00,4E,1900 W LEXINGTON ST,COMMON ASSAULT,,OTHER,714,WESTERN,Penrose/Fayette Street Ou,-76.64805,39.29056,""(39.290560000000, -76.648050000000)"",,1"
"04/27/2018,17:30:00,5E,600 LONEYS LN,BURGLARY,I,,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57266,39.29848,""(39.298480000000, -76.572660000000)"",GARAGE ON,1"
"04/27/2018,17:30:00,6D,200 WATER ST,LARCENY FROM AUTO,I,,111,CENTRAL,Downtown,-76.61153,39.28833,""(39.288330000000, -76.611530000000)"",GARAGE ON,1"
"04/27/2018,17:15:00,7A,3900 6TH ST,AUTO THEFT,O,,913,SOUTHERN,Brooklyn,-76.60412,39.23253,""(39.232530000000, -76.604120000000)"",STREET,1"
